Name,Gender,College Name,City,Stream,Monthly Average Family Income,Which Functional Area do you want to work in ?,What is most important for you while opting for your first job?,If you are already an employee are you happy with your new job ?,What factors make you most unhappy at a job?,What factors make you Happy with a job?,What are the Areas in which you did your internship ?,How much salary would you expect if you are hired for a job?,"If you find a Job that you are looking for, Relocating to a new place for Job is a problem for you ?",Which City you would prefer to work in ?,What perks you would like in your First Job ?,How much time do you spend on your Mobile everyday ?,What channels would you use looking for Jobs ?,"Will you be willing to work for a different industry if you get a Job?  (for example, you are from engineering and would you work in FInance ?)",What Industry you would prefer to work in ?,Are you interested to work on creating a startup ?,"If yes, what area you would want a startup?"
SURVID-20,Female,institute of aeronautical engineering college,hyderabad,Science,"10,000 - 50,000",IT & Software,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,,"10,000 - 20,000",No,hyderabad,,1 - 3 Hours,Internshala,No,IT & Software,No,
SURVID-21,Male,Vardhaman College of Engineering,Hyderabad,Engineering,"Greater than 1,00,00","IT & Software, HR",Salary,,"Low Pay, Lack of opportunity to grow, High Work Load","High pay, Growth oppurtunities, Low Work Load",Data Science,"40,000 - 50,000",Yes,Pune,"Accommodation, Flexible Hours",More than 3 Hours,"Linkedin, Indeed",Yes,Media,Yes,Media Sector
SURVID-22,Female,V.S.M College Of Engineering And Technology,Dangeru,Engineering,"10,000 - 50,000",IT & Software,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,AI,"20,000 - 30,000",No,Hyderabad,,1 - 3 Hours,Naukri,No,IT & Software,No,AI
SURVID-23,Female,"VSM college of engineering,Ramchandrapuram",Hyderabad,Engineering,"Less than 10,000",HR,Job Role,,Lack of opportunity to grow,Growth oppurtunities,Telecommunication,"20,000 - 30,000",No,Hyderabad,Health Insurance and flexible schedule,1 - 3 Hours,Naukri,Yes,Manufacturing,No,
SURVID-24,Female,Vardhaman College of Engineering,Hyderabad ,Engineering,"50,000 - 1,00,000","IT & Software, BPO, HR",Job Role,,"Low Pay, High Work Load","High pay, Low Work Load",,"40,000 - 50,000",Yes,Hyderabad ,,More than 3 Hours,"Naukri, Indeed",Yes,Marketing,,
SURVID-25,Female,Vsm college of engineering,Draksharama,Engineering,"50,000 - 1,00,000",IT & Software,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,Telecommunication,"30,000 - 40,000",Yes,"Hyderabad, Vijayawada","Skill development programmes,helath insurance",More than 3 Hours,"Linkedin, Naukri",No,IT & Software,Yes,IT& SOFTWARE
SURVID-26,Male,Vardhaman College of Engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Salary,,"Low Pay, Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities, Recognition",,"50,000 - 1,00,000",No,Hyderabad,Good salary,Less than 1 Hour,"Linkedin, Internshala",No,IT & Software,Yes,AI
SURVID-27,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Salary,,"Low Pay, Lack of opportunity to grow","High pay, Growth oppurtunities, Recognition, Low Work Load",Web Development,"30,000 - 40,000",No,Delhi,Flexible work hours,1 - 3 Hours,"Linkedin, Naukri, Indeed, Internshala",Yes,Media,No,
SURVID-28,Female,Mallareddy engineering college for women,Kompally,Engineering,"50,000 - 1,00,000",IT & Software,Salary,,,,Python,"30,000 - 40,000",No,Hyderabad,,1 - 3 Hours,"Linkedin, Indeed, Internshala",No,IT & Software,Yes,Healthcare Sector
SURVID-29,Male,Vardhaman college of engineering,Hyderabad,Engineering,"Greater than 1,00,00",,Chance to work on new Projects,,"Lack of opportunity to grow, High Work Load","High pay, Growth oppurtunities",,"30,000 - 40,000",No,,,More than 3 Hours,,,Manufacturing,Yes,AI
